split_id,split_index,experiment_id,user_id,true_state,true_state_name,M,candidate,q_exact,q_hat,error,absolute_error,squared_error,margin_abs_q_minus_alpha,exact_decision,mc_decision,decision_disagreement,hoeffding_decision_bound,n_blocks,exact_permutation_count
exp43_user21_cut195,18,43,21,0,stationary,50,"(1,)",0.20952380952380953,0.16,-0.049523809523809526,0.049523809523809526,0.0024526077097505672,0.009523809523809518,True,False,True,0.990970716251432,15,210
exp43_user21_cut195,18,43,21,0,stationary,100,"(0,)",0.5217391304347826,0.46,-0.061739130434782574,0.061739130434782574,0.0038117202268430957,0.3217391304347826,True,True,False,1.0202546228209946e-09,23,506
exp43_user21_cut195,18,43,21,0,stationary,100,"(1,)",0.20952380952380953,0.22,0.010476190476190472,0.010476190476190472,0.00010975056689342395,0.009523809523809518,True,True,False,0.982022960467876,15,210
exp43_user21_cut195,18,43,21,0,stationary,250,"(0,)",0.5217391304347826,0.52,-0.0017391304347825765,0.0017391304347825765,3.0245746691870335e-06,0.3217391304347826,True,True,False,3.324845185919195e-23,23,506
exp43_user21_cut195,18,43,21,0,stationary,250,"(1,)",0.20952380952380953,0.204,-0.005523809523809542,0.005523809523809542,3.0512471655329e-05,0.009523809523809518,True,True,False,0.9556615326900152,15,210
exp43_user21_cut195,18,43,21,0,stationary,500,"(0,)",0.5217391304347826,0.544,0.022260869565217445,0.022260869565217445,0.0004955463137996243,0.3217391304347826,True,True,False,1.1054595510330045e-45,23,506
exp43_user21_cut195,18,43,21,0,stationary,500,"(1,)",0.20952380952380953,0.194,-0.015523809523809523,0.015523809523809523,0.00024098866213151924,0.009523809523809518,True,False,True,0.913288965063429,15,210
exp43_user21_cut195,18,43,21,0,stationary,1000,"(0,)",0.5217391304347826,0.531,0.009260869565217433,0.009260869565217433,8.576370510397053e-05,0.3217391304347826,True,True,False,1.2220408189700918e-90,23,506
exp43_user21_cut195,18,43,21,0,stationary,1000,"(1,)",0.20952380952380953,0.212,0.002476190476190465,0.002476190476190465,6.131519274376363e-06,0.009523809523809518,True,True,False,0.8340967337066293,15,210
exp51_user25_cut156,19,51,25,0,stationary,25,"(0,)",0.47058823529411764,0.48,0.009411764705882342,0.009411764705882342,8.858131487889252e-05,0.27058823529411763,True,True,False,0.025709372779423287,17,272
exp51_user25_cut156,19,51,25,0,stationary,25,"(1,)",0.19047619047619047,0.16,-0.030476190476190462,0.030476190476190462,0.0009287981859410423,0.009523809523809545,False,False,False,0.9954751208601006,21,420
exp51_user25_cut156,19,51,25,0,stationary,50,"(0,)",0.47058823529411764,0.4,-0.07058823529411762,0.07058823529411762,0.0049826989619377125,0.27058823529411763,True,True,False,0.0006609718487113511,17,272
exp51_user25_cut156,19,51,25,0,stationary,50,"(1,)",0.19047619047619047,0.12,-0.07047619047619047,0.07047619047619047,0.00496689342403628,0.009523809523809545,False,False,False,0.9909707162514318,21,420
exp51_user25_cut156,19,51,25,0,stationary,100,"(0,)",0.47058823529411764,0.43,-0.04058823529411765,0.04058823529411765,0.0016474048442906575,0.27058823529411763,True,True,False,4.3688378478890123e-07,17,272
exp51_user25_cut156,19,51,25,0,stationary,100,"(1,)",0.19047619047619047,0.14,-0.05047619047619045,0.05047619047619045,0.00254784580498866,0.009523809523809545,False,False,False,0.9820229604678758,21,420
exp51_user25_cut156,19,51,25,0,stationary,250,"(0,)",0.47058823529411764,0.444,-0.026588235294117635,0.026588235294117635,0.0007069342560553627,0.27058823529411763,True,True,False,1.2615800560854875e-16,17,272
exp51_user25_cut156,19,51,25,0,stationary,250,"(1,)",0.19047619047619047,0.172,-0.01847619047619048,0.01847619047619048,0.0003413696145124718,0.009523809523809545,False,False,False,0.955661532690015,21,420
exp51_user25_cut156,19,51,25,0,stationary,500,"(0,)",0.47058823529411764,0.47,-0.0005882352941176672,0.0005882352941176672,3.460207612456984e-07,0.27058823529411763,True,True,False,1.591584237912662e-32,17,272
exp51_user25_cut156,19,51,25,0,stationary,500,"(1,)",0.19047619047619047,0.172,-0.01847619047619048,0.01847619047619048,0.0003413696145124718,0.009523809523809545,False,False,False,0.9132889650634285,21,420
exp51_user25_cut156,19,51,25,0,stationary,1000,"(0,)",0.47058823529411764,0.478,0.00741176470588234,0.00741176470588234,5.493425605536313e-05,0.27058823529411763,True,True,False,2.5331403863720293e-64,17,272
exp51_user25_cut156,19,51,25,0,stationary,1000,"(1,)",0.19047619047619047,0.195,0.004523809523809541,0.004523809523809541,2.0464852607709907e-05,0.009523809523809545,False,False,False,0.8340967337066284,21,420
exp60_user30_cut162,20,60,30,1,moving,25,"(0,)",0.14285714285714285,0.2,0.05714285714285716,0.05714285714285716,0.003265306122448982,0.05714285714285716,False,False,False,0.8493658165683123,22,462
exp60_user30_cut162,20,60,30,1,moving,25,"(1,)",0.8125,0.76,-0.05249999999999999,0.05249999999999999,0.002756249999999999,0.6125,True,True,False,7.138147842919345e-09,16,240
exp60_user30_cut162,20,60,30,1,moving,50,"(0,)",0.14285714285714285,0.22,0.07714285714285715,0.07714285714285715,0.005951020408163267,0.05714285714285716,False,True,True,0.721422290354756,22,462
exp60_user30_cut162,20,60,30,1,moving,50,"(1,)",0.8125,0.78,-0.03249999999999997,0.03249999999999997,0.0010562499999999982,0.6125,True,True,False,5.0953154627374094e-17,16,240
exp60_user30_cut162,20,60,30,1,moving,100,"(0,)",0.14285714285714285,0.19,0.04714285714285715,0.04714285714285715,0.002222448979591838,0.05714285714285716,False,False,False,0.5204501210207019,22,462
exp60_user30_cut162,20,60,30,1,moving,100,"(1,)",0.8125,0.8,-0.012499999999999956,0.012499999999999956,0.0001562499999999989,0.6125,True,True,False,2.596223966481094e-33,16,240
exp60_user30_cut162,20,60,30,1,moving,250,"(0,)",0.14285714285714285,0.18,0.037142857142857144,0.037142857142857144,0.001379591836734694,0.05714285714285716,False,False,False,0.19541044990972595,22,462
exp60_user30_cut162,20,60,30,1,moving,250,"(1,)",0.8125,0.8,-0.012499999999999956,0.012499999999999956,0.0001562499999999989,0.6125,True,True,False,3.434435675302076e-82,16,240
exp60_user30_cut162,20,60,30,1,moving,500,"(0,)",0.14285714285714285,0.174,0.03114285714285714,0.03114285714285714,0.0009698775510204079,0.05714285714285716,False,False,False,0.03818524393392151,22,462
exp60_user30_cut162,20,60,30,1,moving,500,"(1,)",0.8125,0.82,0.007499999999999951,0.007499999999999951,5.624999999999927e-05,0.6125,True,True,False,1.1795348407787623e-163,16,240
exp60_user30_cut162,20,60,30,1,moving,1000,"(0,)",0.14285714285714285,0.164,0.021142857142857158,0.021142857142857158,0.00044702040816326595,0.05714285714285716,False,False,False,0.0014581128542930895,22,462
exp60_user30_cut162,20,60,30,1,moving,1000,"(1,)",0.8125,0.827,0.014499999999999957,0.014499999999999957,0.00021024999999999877,0.6125,True,True,False,0.0,16,240
exp33_user16_cut177,21,33,16,1,moving,25,"(0,)",0.09523809523809523,0.12,0.024761904761904763,0.024761904761904763,0.0006131519274376418,0.10476190476190478,False,False,False,0.5776698111849627,21,420
exp33_user16_cut177,21,33,16,1,moving,25,"(1,)",0.8823529411764706,0.92,0.03764705882352948,0.03764705882352948,0.0014173010380622887,0.6823529411764706,True,True,False,7.753615155863815e-11,17,272
exp33_user16_cut177,21,33,16,1,moving,50,"(0,)",0.09523809523809523,0.06,-0.035238095238095235,0.035238095238095235,0.00124172335600907,0.10476190476190478,False,False,False,0.33370241075447055,21,420
exp33_user16_cut177,21,33,16,1,moving,50,"(1,)",0.8823529411764706,0.88,-0.0023529411764705577,0.0023529411764705577,5.536332179930652e-06,0.6823529411764706,True,True,False,6.0118547985241055e-21,17,272
exp33_user16_cut177,21,33,16,1,moving,100,"(0,)",0.09523809523809523,0.07,-0.025238095238095226,0.025238095238095226,0.000636961451247165,0.10476190476190478,False,False,False,0.1113572989433454,21,420
exp33_user16_cut177,21,33,16,1,moving,100,"(1,)",0.8823529411764706,0.87,-0.012352941176470567,0.012352941176470567,0.000152595155709342,0.6823529411764706,True,True,False,3.6142398118537314e-41,17,272
exp33_user16_cut177,21,33,16,1,moving,250,"(0,)",0.09523809523809523,0.092,-0.0032380952380952344,0.0032380952380952344,1.0485260770975033e-05,0.10476190476190478,False,False,False,0.00413805940136497,21,420
exp33_user16_cut177,21,33,16,1,moving,250,"(1,)",0.8823529411764706,0.836,-0.0463529411764706,0.0463529411764706,0.0021485951557093435,0.6823529411764706,True,True,False,7.853123253095028e-102,17,272
exp33_user16_cut177,21,33,16,1,moving,500,"(0,)",0.09523809523809523,0.106,0.010761904761904764,0.010761904761904764,0.00011581859410430844,0.10476190476190478,False,False,False,1.7123535609225014e-05,21,420
exp33_user16_cut177,21,33,16,1,moving,500,"(1,)",0.8823529411764706,0.878,-0.0043529411764705594,0.0043529411764705594,1.89480968858129e-05,0.6823529411764706,True,True,False,6.167154482830185e-203,17,272
exp33_user16_cut177,21,33,16,1,moving,1000,"(0,)",0.09523809523809523,0.101,0.005761904761904774,0.005761904761904774,3.3199546485260905e-05,0.10476190476190478,False,False,False,2.93215471760397e-10,21,420
exp33_user16_cut177,21,33,16,1,moving,1000,"(1,)",0.8823529411764706,0.887,0.0046470588235294485,0.0046470588235294485,2.1595155709342903e-05,0.6823529411764706,True,True,False,0.0,17,272
exp51_user25_cut150,22,51,25,0,stationary,25,"(0,)",0.5294117647058824,0.4,-0.12941176470588234,0.12941176470588234,0.016747404844290652,0.32941176470588235,True,True,False,0.004402399541650948,17,272
exp51_user25_cut150,22,51,25,0,stationary,25,"(1,)",0.19047619047619047,0.16,-0.030476190476190462,0.030476190476190462,0.0009287981859410423,0.009523809523809545,False,False,False,0.9954751208601006,21,420
exp51_user25_cut150,22,51,25,0,stationary,50,"(0,)",0.5294117647058824,0.52,-0.009411764705882342,0.009411764705882342,8.858131487889252e-05,0.32941176470588235,True,True,False,1.9381121724328475e-05,17,272
exp51_user25_cut150,22,51,25,0,stationary,50,"(1,)",0.19047619047619047,0.16,-0.030476190476190462,0.030476190476190462,0.0009287981859410423,0.009523809523809545,False,False,False,0.9909707162514318,21,420
exp51_user25_cut150,22,51,25,0,stationary,100,"(0,)",0.5294117647058824,0.5,-0.02941176470588236,0.02941176470588236,0.0008650519031141872,0.32941176470588235,True,True,False,3.756278792932372e-10,17,272
exp51_user25_cut150,22,51,25,0,stationary,100,"(1,)",0.19047619047619047,0.2,0.009523809523809545,0.009523809523809545,9.07029478458054e-05,0.009523809523809545,False,False,False,0.9820229604678758,21,420
exp51_user25_cut150,22,51,25,0,stationary,250,"(0,)",0.5294117647058824,0.544,0.01458823529411768,0.01458823529411768,0.00021281660899654075,0.32941176470588235,True,True,False,2.7346046369077832e-24,17,272
exp51_user25_cut150,22,51,25,0,stationary,250,"(1,)",0.19047619047619047,0.176,-0.014476190476190476,0.014476190476190476,0.00020956009070294783,0.009523809523809545,False,False,False,0.955661532690015,21,420
exp51_user25_cut150,22,51,25,0,stationary,500,"(0,)",0.5294117647058824,0.542,0.012588235294117678,0.012588235294117678,0.00015846366782006999,0.32941176470588235,True,True,False,7.478062520197549e-48,17,272
exp51_user25_cut150,22,51,25,0,stationary,500,"(1,)",0.19047619047619047,0.18,-0.010476190476190472,0.010476190476190472,0.00010975056689342395,0.009523809523809545,False,False,False,0.9132889650634285,21,420
exp51_user25_cut150,22,51,25,0,stationary,1000,"(0,)",0.5294117647058824,0.516,-0.013411764705882345,0.013411764705882345,0.00017987543252595136,0.32941176470588235,True,True,False,5.592141905598331e-95,17,272
exp51_user25_cut150,22,51,25,0,stationary,1000,"(1,)",0.19047619047619047,0.189,-0.0014761904761904643,0.0014761904761904643,2.1791383219954297e-06,0.009523809523809545,False,False,False,0.8340967337066284,21,420
exp32_user16_cut156,23,32,16,0,stationary,25,"(0,)",0.3684210526315789,0.36,-0.00842105263157894,0.00842105263157894,7.09141274238226e-05,0.16842105263157892,True,True,False,0.2421295056924226,19,342
exp32_user16_cut156,23,32,16,0,stationary,25,"(1,)",0.2046783625730994,0.2,-0.004678362573099393,0.004678362573099393,2.1887076365377173e-05,0.004678362573099393,True,False,True,0.9989062447684958,19,342
exp32_user16_cut156,23,32,16,0,stationary,50,"(0,)",0.3684210526315789,0.28,-0.0884210526315789,0.0884210526315789,0.007818282548476446,0.16842105263157892,True,True,False,0.0586266975268569,19,342
exp32_user16_cut156,23,32,16,0,stationary,50,"(1,)",0.2046783625730994,0.18,-0.02467836257309941,0.02467836257309941,0.0006090215792893537,0.004678362573099393,True,False,True,0.997813685837498,19,342
exp32_user16_cut156,23,32,16,0,stationary,100,"(0,)",0.3684210526315789,0.35,-0.01842105263157895,0.01842105263157895,0.0003393351800554017,0.16842105263157892,True,True,False,0.003437089662905569,19,342
exp32_user16_cut156,23,32,16,0,stationary,100,"(1,)",0.2046783625730994,0.2,-0.004678362573099393,0.004678362573099393,2.1887076365377173e-05,0.004678362573099393,True,False,True,0.9956321516446132,19,342
exp32_user16_cut156,23,32,16,0,stationary,250,"(0,)",0.3684210526315789,0.332,-0.03642105263157891,0.03642105263157891,0.001326493074792241,0.16842105263157892,True,True,False,6.925914950721258e-07,19,342
exp32_user16_cut156,23,32,16,0,stationary,250,"(1,)",0.2046783625730994,0.224,0.0193216374269006,0.0193216374269006,0.0003733256728566061,0.004678362573099393,True,True,False,0.9891161244926994,19,342
exp32_user16_cut156,23,32,16,0,stationary,500,"(0,)",0.3684210526315789,0.368,-0.00042105263157893313,0.00042105263157893313,1.772853185595448e-07,0.16842105263157892,True,True,False,4.796829790462425e-13,19,342
exp32_user16_cut156,23,32,16,0,stationary,500,"(1,)",0.2046783625730994,0.22,0.015321637426900597,0.015321637426900597,0.00023475257344140115,0.004678362573099393,True,True,False,0.9783507077314573,19,342
exp32_user16_cut156,23,32,16,0,stationary,1000,"(0,)",0.3684210526315789,0.37,0.0015789473684210686,0.0015789473684210686,2.493074792243818e-06,0.16842105263157892,True,True,False,2.3009576038667792e-25,19,342
exp32_user16_cut156,23,32,16,0,stationary,1000,"(1,)",0.2046783625730994,0.216,0.011321637426900594,0.011321637426900594,0.0001281794740261963,0.004678362573099393,True,True,False,0.9571701073186433,19,342
exp33_user16_cut156,24,33,16,0,stationary,25,"(0,)",0.45454545454545453,0.6,0.14545454545454545,0.14545454545454545,0.021157024793388428,0.2545454545454545,True,True,False,0.03917684398136181,22,462
exp33_user16_cut156,24,33,16,0,stationary,25,"(1,)",0.22916666666666666,0.32,0.09083333333333335,0.09083333333333335,0.008250694444444448,0.029166666666666646,True,True,False,0.9583571886519543,16,240
exp33_user16_cut156,24,33,16,0,stationary,50,"(0,)",0.45454545454545453,0.54,0.0854545454545455,0.0854545454545455,0.007302479338842984,0.2545454545454545,True,True,False,0.0015348251043399651,22,462
exp33_user16_cut156,24,33,16,0,stationary,50,"(1,)",0.22916666666666666,0.28,0.05083333333333337,0.05083333333333337,0.0025840277777777814,0.029166666666666646,True,True,False,0.9184485010408775,16,240
exp33_user16_cut156,24,33,16,0,stationary,100,"(0,)",0.45454545454545453,0.49,0.03545454545454546,0.03545454545454546,0.0012570247933884303,0.2545454545454545,True,True,False,2.355688100912185e-06,22,462
exp33_user16_cut156,24,33,16,0,stationary,100,"(1,)",0.22916666666666666,0.2,-0.029166666666666646,0.029166666666666646,0.0008506944444444433,0.029166666666666646,True,False,True,0.8435476490642346,16,240
exp33_user16_cut156,24,33,16,0,stationary,250,"(0,)",0.45454545454545453,0.48,0.025454545454545452,0.025454545454545452,0.0006479338842975206,0.2545454545454545,True,True,False,8.517153425561401e-15,22,462
exp33_user16_cut156,24,33,16,0,stationary,250,"(1,)",0.22916666666666666,0.208,-0.021166666666666667,0.021166666666666667,0.00044802777777777777,0.029166666666666646,True,True,False,0.6535428211379842,16,240
exp33_user16_cut156,24,33,16,0,stationary,500,"(0,)",0.45454545454545453,0.468,0.013454545454545497,0.013454545454545497,0.0001810247933884309,0.2545454545454545,True,True,False,7.25419024745523e-29,22,462
exp33_user16_cut156,24,33,16,0,stationary,500,"(1,)",0.22916666666666666,0.232,0.0028333333333333544,0.0028333333333333544,8.027777777777897e-06,0.029166666666666646,True,True,False,0.42711821906099523,16,240
exp33_user16_cut156,24,33,16,0,stationary,1000,"(0,)",0.45454545454545453,0.472,0.017454545454545445,0.017454545454545445,0.00030466115702479303,0.2545454545454545,True,True,False,5.262327614627457e-57,22,462
exp33_user16_cut156,24,33,16,0,stationary,1000,"(1,)",0.22916666666666666,0.236,0.00683333333333333,0.00683333333333333,4.66944444444444e-05,0.029166666666666646,True,True,False,0.18242997305383632,16,240
exp25_user12_cut150,25,25,12,1,moving,25,"(0,)",0.5714285714285714,0.6,0.02857142857142858,0.02857142857142858,0.0008163265306122455,0.3714285714285714,True,True,False,0.0010098442341126832,21,420
exp25_user12_cut150,25,25,12,1,moving,25,"(1,)",0.22058823529411764,0.12,-0.10058823529411764,0.10058823529411764,0.010117993079584775,0.02058823529411763,True,False,True,0.9790292381005904,17,272
exp25_user12_cut150,25,25,12,1,moving,50,"(0,)",0.5714285714285714,0.6,0.02857142857142858,0.02857142857142858,0.0008163265306122455,0.3714285714285714,True,True,False,1.0197853771706318e-06,21,420
exp25_user12_cut150,25,25,12,1,moving,50,"(1,)",0.22058823529411764,0.12,-0.10058823529411764,0.10058823529411764,0.010117993079584775,0.02058823529411763,True,False,True,0.9584982490558226,17,272
